Outgroup,outgroup_att,symbolic,b5a,generalized,identification_selfinvestment,contact_quality,contact_friendsz
Black people,0.020160369,-0.552418949,-0.47811675,-2,-1.570639549,0.313528401,0.343375795
Black people,1.398473871,0.485737123,0.21142631,-2,0.614341601,-0.301225432,-0.656624205
Black people,-1.647611977,-0.692471484,0.65028429,0,-1.119133718,0.895655804,0.286097923
Black people,0.020160369,-0.712934405,-1.2377477,-7,-2.190887108,0.29050795,-1.514949724
Black people,-0.971304302,-0.643532026,0.21142631,-3,-0.818442321,0.305198363,1.343375795
Black people,1.011625039,2.516284496,-0.22743167,0,-0.625601048,-2.044015762,0.343375795
Black people,2.994554379,2.082895059,-1.06044494,0,-1.016963754,-1.795943431,-0.868438138
Black people,-1.647611977,-0.650419503,0.83676944,-7,1.564755291,1.167245518,1.024768422
Black people,0.939933201,1.134566635,-0.78886738,6,1.321417888,-2.959161911,-0.656624205
Black people,-1.962768972,4.047420158,0.45413516,0,2.282664895,1.188989116,2.027678579
Black people,-0.971304302,-0.650419503,0.07433549,0,0.231223076,-0.149701669,0.343375795
Black people,-0.971304302,0.476442179,-0.16736611,-0.5,0.309993621,0.10810928,-0.656624205
Black people,-1.962768972,-0.654726058,-0.84766024,0,0.667862105,0.432035532,0.227280776
Black people,0.696468044,2.10471957,-0.49305472,-2.5,-2.331578754,-0.712393889,0.26544294
Black people,2.415636692,4.460581066,-0.47811675,7,1.533911998,1.118255698,-0.184521654
Black people,2.994554379,-0.355227475,0.14338453,-5,-1.841333897,-1.453714646,-1.656624205
Black people,-0.971304302,0.245515939,0.45413516,1,2.252890567,0.987264703,1.549635094
Black people,0.335317363,-0.643532026,-0.47811675,4,1.481615593,-0.828517645,-0.058019274
Black people,1.011625039,-0.585668018,0.21142631,-6,-1.447414809,-0.61491389,0.343375795
Black people,-1.06869429,0.586577716,-0.12070823,0,0.293229053,0.475147173,-0.656624205
Black people,3.986019049,3.79567977,0.26937922,7,0.939835618,-4.610391151,-0.656624205
Black people,1.011625039,-0.547106633,-0.16736611,-3,-0.08249158,1.091084522,-0.656624205
Black people,-0.584455469,-0.626320288,0.14338453,-4,0.24313793,0.086302316,0.511550988
Black people,2.994554379,4.935453055,-1.43279143,6,2.204959129,-3.343555394,-0.656624205
Black people,-0.971304302,-0.628718414,-0.86540121,-2.5,0.366226742,-0.372320068,-0.656624205
Black people,1.011625039,-0.655271772,-0.47811675,-1.5,-0.264228149,-0.691765315,-0.042435041
Black people,-0.971304302,-0.650419503,-0.12070823,0,1.078867053,-0.139684913,-1.4917074
Black people,0.722166195,1.940574928,-0.16736611,1,-0.371346974,-1.452883488,0.343375795
Black people,-0.584455469,0.221601777,-0.22743167,-1.5,-1.25759891,0.21989462,0.343375795
Black people,0.020160369,-0.692471484,0.21142631,0,-0.591569798,-0.049769916,0.343375795
Black people,-0.971304302,-0.654726058,0.64172571,-5,-1.134877084,1.169463223,2.343375795
Black people,0.020160369,-0.474463118,-1.2377477,0,1.91382555,0.409878335,0.343375795
Black people,1.011625039,2.011355248,0.14338453,2,1.761837401,-0.807370485,-0.656624205
Black people,1.011625039,0.002852684,0.26937922,0,-1.520534679,-0.284167082,0.343375795
Black people,0.020160369,-0.654726058,0.46442295,-1,0.569983716,-0.189543204,-0.656624205
Black people,0.722166195,0.319915363,-0.86540121,0,-0.092363178,-0.004411056,-0.027305802
Black people,1.011625039,-0.580872348,0.21142631,0,-0.886358269,-0.526257802,-1.656624205
Black people,-0.366688464,-0.692471484,-0.78886738,0,0.160794929,0.894701274,1.343375795
Black people,-0.971304302,-0.692471484,-0.47811675,0,-1.297192931,1.184819558,1.343375795
Black people,-1.358153134,-0.692471484,0.65028429,0,0.440936696,0.495446938,0.792345479
Black people,-0.294996626,-0.691571924,-0.12070823,0,1.751515066,1.065231102,0.601761068
Black people,2.994554379,2.603501264,-0.47811675,3,0.767578304,-2.04878231,-0.694048421
Black people,-1.962768972,-0.64231587,0.46442295,0,-0.292496232,1.150228695,0.343375795
Black people,-1.962768972,-0.706553393,0.45413516,-1,0.772375279,0.949311793,2.343375795
Black people,1.011625039,1.152009425,-0.47811675,1,1.085199126,-0.598511027,-0.656624205
Black people,-1.962768972,-0.692471484,-0.66628965,0,-0.327700577,1.173184539,2.343375795
Black people,-0.971304302,1.077533435,0.45413516,0,1.55431358,0.216815682,1.343375795
Black people,-0.656147307,-0.692471484,-0.86540121,-2,-0.5701686,0.183701326,-0.731794845
Black people,1.011625039,-0.655271772,-0.16736611,1,-0.167212376,0.165288556,-1.202217405
Black people,0.020160369,-0.598763068,-0.12070823,0,1.582328477,-0.406497299,-0.656624205
